learner,train_time,pred_time,f_test,f_train
PassiveAggressiveClassifier,0.35255885124206543,0.010282039642333984,0.8614559973746103,0.8598543001026744
MLPClassifier,496.9429087638855,2.6365749835968018,0.8432676977363407,0.8415911736423907
XGBClassifier,29.75724697113037,0.8421838283538818,0.8206326265827981,0.8206459860165155
GradientBoostingClassifier,32.9650022983551,0.49558401107788086,0.8167281470258876,0.8169187079330144
RandomForestClassifier,3.435091972351074,0.787700891494751,0.7944641839573627,0.9844888147465056
BaggingClassifier,18.702892065048218,1.0344090461730957,0.790209907359322,0.9837728404885346
LogisticRegression,4.203176021575928,0.01118326187133789,0.7882141168468118,0.7856340723734876
ExtraTreesClassifier,3.357793092727661,1.0455288887023926,0.7864998867440164,0.9991917830588634
AdaBoostClassifier,8.837501049041748,0.9507126808166504,0.7854825291181365,0.7850190259702413
RidgeClassifierCV,0.5025720596313477,0.01458883285522461,0.7784897025171625,0.7769676812414666
RidgeClassifier,0.08034610748291016,0.009439945220947266,0.7784740078721155,0.7768605878202447
DecisionTreeClassifier,2.8921589851379395,0.0926048755645752,0.7616886064457558,0.9991917830588634
ExtraTreeClassifier,0.37775087356567383,0.12359499931335449,0.747145430209693,0.9991917830588634
SGDClassifier,0.32920026779174805,0.010186910629272461,0.7368492638308002,0.7350537094946652
