learner,train_time,pred_time,f_test,f_train
XGBClassifier,51.742635011672974,1.085273027420044,0.7901996310987055,0.790656729160752
GradientBoostingClassifier,44.60593104362488,0.7664620876312256,0.7886490820433943,0.7886861814378379
BaggingClassifier,24.008018970489502,1.3878531455993652,0.7607745579237545,0.9815991623731379
AdaBoostClassifier,10.543447017669678,1.0829188823699951,0.7459292276903483,0.7469887997218042
MLPClassifier,565.4040138721466,4.307006120681763,0.7402333428188136,0.743867962902701
RandomForestClassifier,4.422388076782227,0.9385168552398682,0.7394455318574514,0.9817503566570451
DecisionTreeClassifier,3.5330071449279785,0.11719608306884766,0.7332456532168677,0.9992083227397409
ExtraTreesClassifier,4.744251728057861,1.2639222145080566,0.6969192763822508,0.9992083227397409
ExtraTreeClassifier,0.4954092502593994,0.16041088104248047,0.6646375756773747,0.9992083227397409
SGDClassifier,0.48035216331481934,0.057600975036621094,0.6194587299001699,0.6253535259613968
LogisticRegression,59.06319069862366,0.054096221923828125,0.6030118850099888,0.6049694066670616
RidgeClassifierCV,1.107591152191162,0.06234407424926758,0.5861141149323502,0.5886776318028658
RidgeClassifier,0.1940469741821289,0.057668209075927734,0.5860113421550094,0.5887427009434263
PassiveAggressiveClassifier,0.5561540126800537,0.056339263916015625,0.008352237574757681,0.00845620177322426
