learner,train_time,pred_time,f_test,f_train
XGBClassifier,23.22157120704651,0.5983390808105469,0.7928300586004826,0.7961187610864174
GradientBoostingClassifier,24.893782138824463,0.3717048168182373,0.7903405770150365,0.7920012038914019
BaggingClassifier,15.552687168121338,0.6457200050354004,0.7582345907163822,0.981419105384223
RandomForestClassifier,3.177353858947754,0.5037169456481934,0.7496047538570572,0.9839069969967282
AdaBoostClassifier,6.932963132858276,0.59499192237854,0.74688296018233,0.7444143231649191
DecisionTreeClassifier,2.1783909797668457,0.05436110496520996,0.72725082322705,0.9989795098672173
ExtraTreesClassifier,2.7220652103424072,0.6580710411071777,0.700980796175719,0.9989795098672173
ExtraTreeClassifier,0.23902225494384766,0.06646609306335449,0.675096442348907,0.9989795098672173
LogisticRegression,12.941187143325806,0.022964000701904297,0.5872188699945144,0.5949681443474455
RidgeClassifierCV,0.513314962387085,0.023653030395507812,0.5848989233135574,0.5905998574813173
RidgeClassifier,0.10335898399353027,0.022929906845092773,0.584809778876528,0.5906938502063127
PassiveAggressiveClassifier,0.3148200511932373,0.02214503288269043,0.42186502640283174,0.42355438451825705
MLPClassifier,8.672932863235474,0.19063901901245117,0.2796472860970898,0.2979459616101122
SGDClassifier,0.2155930995941162,0.01966118812561035,0.2137752197836949,0.22179823515382782
