learner,train_time,pred_time,f_test,f_train
XGBClassifier,34.23362898826599,0.8713741302490234,0.8223127597706625,0.8222262395845319
GradientBoostingClassifier,44.972782135009766,0.5123331546783447,0.8152971235473502,0.815246278422733
SGDClassifier,0.38574934005737305,0.012064933776855469,0.814623712097709,0.8130307140094881
MLPClassifier,435.84984397888184,2.6104772090911865,0.806371452711098,0.8065359044143762
BaggingClassifier,24.128135919570923,1.0993537902832031,0.7959928359807844,0.9834105762641929
RandomForestClassifier,4.309417963027954,0.8351380825042725,0.7959836532341807,0.9842223822618761
ExtraTreesClassifier,4.394138813018799,1.2350530624389648,0.7893413354344436,0.9990592420283624
LogisticRegression,4.763792991638184,0.009480953216552734,0.7866398977915677,0.7859196091527336
AdaBoostClassifier,10.923731088638306,0.9892017841339111,0.7826630027479392,0.7843336893802376
RidgeClassifierCV,0.609879732131958,0.01093912124633789,0.7773098753308144,0.776997211794461
RidgeClassifier,0.0937662124633789,0.009774923324584961,0.7772525259250629,0.7769168290196471
DecisionTreeClassifier,3.199014902114868,0.08757996559143066,0.7588096065676879,0.9990592420283624
ExtraTreeClassifier,0.43140101432800293,0.11948585510253906,0.7445332628658256,0.9990592420283624
PassiveAggressiveClassifier,0.39879727363586426,0.010774850845336914,0.6151234513038377,0.6170076663224753
