learner,train_time,pred_time,f_test,f_train
XGBClassifier,28.216853857040405,0.8039641380310059,0.7899458471977555,0.7899705460312665
GradientBoostingClassifier,31.819921731948853,0.472912073135376,0.7879075242797816,0.7885125346821519
SGDClassifier,0.33945608139038086,0.029552936553955078,0.7813934001037469,0.7817191333638293
BaggingClassifier,19.35477900505066,1.0455601215362549,0.7611829882390525,0.9814336806095475
RandomForestClassifier,3.632228136062622,0.8271517753601074,0.749905251189624,0.9816855437726286
AdaBoostClassifier,8.799965858459473,0.9469289779663086,0.7425574400742392,0.7435412532425926
DecisionTreeClassifier,2.871899366378784,0.0935678482055664,0.7336159382566086,0.9992083227397409
MLPClassifier,296.683278799057,1.8711700439453125,0.7264172595822813,0.7309576389871415
ExtraTreesClassifier,3.6261820793151855,1.090749979019165,0.7037533512064343,0.9992083227397409
ExtraTreeClassifier,0.38842296600341797,0.12900996208190918,0.6629507328417377,0.9992083227397409
LogisticRegression,22.413270950317383,0.02883315086364746,0.5948836696438417,0.5979513579933053
RidgeClassifierCV,0.4960298538208008,0.032644033432006836,0.5780171788769757,0.5814295237263625
RidgeClassifier,0.09952712059020996,0.0275421142578125,0.5778564421887661,0.581430762022405
PassiveAggressiveClassifier,0.37201976776123047,0.029275894165039062,0.01005009586245284,0.00944604670702822
