learner,train_time,pred_time,f_test,f_train
XGBClassifier,28.456299781799316,0.8388831615447998,0.7899458471977555,0.7899705460312665
GradientBoostingClassifier,32.10053873062134,0.48215174674987793,0.7879075242797816,0.7885125346821519
SGDClassifier,0.3327517509460449,0.03153824806213379,0.7813934001037469,0.7817191333638293
BaggingClassifier,19.843508005142212,1.0461540222167969,0.7611829882390525,0.9814336806095475
RandomForestClassifier,3.665893077850342,0.8285090923309326,0.749905251189624,0.9816855437726286
AdaBoostClassifier,8.855989694595337,0.9356563091278076,0.7425574400742392,0.7435412532425926
DecisionTreeClassifier,2.9496519565582275,0.0969090461730957,0.7336159382566086,0.9992083227397409
MLPClassifier,308.1304769515991,1.9488461017608643,0.7264172595822813,0.7309576389871415
ExtraTreesClassifier,3.693948745727539,1.128119945526123,0.7037533512064343,0.9992083227397409
ExtraTreeClassifier,0.39026880264282227,0.13894414901733398,0.6629507328417377,0.9992083227397409
LogisticRegression,22.372854948043823,0.031148672103881836,0.5948836696438417,0.5979513579933053
RidgeClassifierCV,0.5242619514465332,0.033798933029174805,0.5780171788769757,0.5814295237263625
RidgeClassifier,0.11687397956848145,0.033818960189819336,0.5778564421887661,0.581430762022405
PassiveAggressiveClassifier,0.36824917793273926,0.029878854751586914,0.01005009586245284,0.00944604670702822
