learner,train_time,pred_time,f_test,f_train
BaggingClassifier,489.1561689376831,10.760848045349121,0.709317001807177,0.9670969136577269
RandomForestClassifier,75.98573613166809,6.863204002380371,0.701293226147022,0.9672969057030124
DecisionTreeClassifier,56.96360802650452,0.856766939163208,0.6877232588391573,0.998513203652133
ExtraTreesClassifier,50.26664924621582,9.118590831756592,0.6647801227643367,0.998513203652133
GradientBoostingClassifier,647.7868909835815,3.9013800621032715,0.6610180465678429,0.6590491405994888
XGBClassifier,392.6975829601288,6.970494985580444,0.6464111518369938,0.6453248502575327
ExtraTreeClassifier,5.098738193511963,1.0340359210968018,0.6415396119812221,0.998513203652133
AdaBoostClassifier,340.74916982650757,8.204527854919434,0.6030280124012665,0.6034014679404757
PassiveAggressiveClassifier,3.5383269786834717,0.44809484481811523,0.5027447805943815,0.5029570832482045
SGDClassifier,3.16682505607605,0.43854212760925293,0.37194996779194306,0.3682665762666259
RidgeClassifierCV,6.848527193069458,0.41328907012939453,0.3203368557431475,0.3199966810711775
MLPClassifier,2162.640972137451,18.457831144332886,0.31525677919854894,0.31290174629816414
RidgeClassifier,0.9269740581512451,0.43897414207458496,0.21119270391862816,0.20850985298271052
LogisticRegression,53.85122895240784,0.44582676887512207,0.20106492406365345,0.19851249236180155
