learner,train_time,pred_time,f_test,f_train
MLPClassifier,544.2399549484253,2.433090925216675,0.8261533159371768,0.8242926939705538
XGBClassifier,30.427481174468994,0.7939038276672363,0.8210927114276805,0.8209470253690332
GradientBoostingClassifier,35.20183491706848,0.459547758102417,0.8165769148428107,0.817238228308462
SGDClassifier,0.3571178913116455,0.01001596450805664,0.8077357841450828,0.8078771252973687
RandomForestClassifier,3.7915639877319336,0.7809579372406006,0.7961548767416936,0.984662503245958
BaggingClassifier,21.56207299232483,1.0079150199890137,0.7945535445451809,0.983260168337825
ExtraTreesClassifier,4.075972318649292,1.0452301502227783,0.7871954902355546,0.9990298362113634
LogisticRegression,3.550930976867676,0.00935816764831543,0.7844472495349455,0.7855397494481806
AdaBoostClassifier,10.589837789535522,0.9619121551513672,0.78325,0.7859900052974146
RidgeClassifierCV,0.5200560092926025,0.009977102279663086,0.7757845292824306,0.775445431617775
RidgeClassifier,0.08333182334899902,0.009440898895263672,0.7756567221361584,0.7754214689935114
DecisionTreeClassifier,3.066490888595581,0.08761811256408691,0.7601281606632645,0.9990298362113634
ExtraTreeClassifier,0.39142680168151855,0.11544919013977051,0.7409978021251632,0.9990298362113634
PassiveAggressiveClassifier,0.3567240238189697,0.009758234024047852,0.6087568357113593,0.6110702333198832
