learner,train_time,pred_time,f_test,f_train
XGBClassifier,50.98581290245056,0.9932527542114258,0.7838301347488771,0.788220244413598
GradientBoostingClassifier,55.816394090652466,0.6867189407348633,0.7798420655984797,0.7838806839380125
BaggingClassifier,27.116533994674683,1.2869229316711426,0.7649883316824204,0.9814560211720561
RandomForestClassifier,5.204913139343262,0.9997889995574951,0.7408595794984378,0.9813344245856191
AdaBoostClassifier,11.942934036254883,1.0830118656158447,0.7324735175637815,0.7370112934055139
DecisionTreeClassifier,3.7807958126068115,0.1086122989654541,0.7306388957765104,0.9990592420283624
MLPClassifier,407.2089374065399,1.950148105621338,0.7242879811546076,0.7298217886533326
ExtraTreesClassifier,5.261060953140259,1.2454400062561035,0.6959112982646789,0.9990592420283624
ExtraTreeClassifier,0.5006570816040039,0.15659689903259277,0.668282433907951,0.9990592420283624
LogisticRegression,21.10129404067993,0.04128313064575195,0.5815195280716029,0.5900417417648817
RidgeClassifier,0.1915910243988037,0.04196500778198242,0.5687898306239989,0.5773059371080587
RidgeClassifierCV,0.9552979469299316,0.04698586463928223,0.5687143222288489,0.5772830560755254
SGDClassifier,0.43708324432373047,0.0436708927154541,0.1718719500292797,0.18075133641191812
PassiveAggressiveClassifier,0.5243868827819824,0.03795814514160156,0.08016877637130802,0.08082862456270386
